507, 548, 3.45
507, 549, 3.45
548, 508, 3.15
549, 508, 3.15
508, 547, 3.38
547, 509, 3.3
547, 546a, 3.3
546a, 546, 3.45
509, 546, 3.45
546, 510, 3.22
510, 545, 3.45
545, 511, 3.23
511, 512, 6.52
512, 544, 3.3
544, 513, 3.3
513, 543, 3.38
543, 542, 3.15
543, 514, 3.15
542, 541, 3.53
514, 541, 3.53
541, 540, 3.22
541, 515, 3.22
515, 501k, 6.07
540, 501k, 6.07
501k, s5d3, 4.73
501k, 534, 10.65
534, 516, 3.38
516, 533, 3.15
533, 532, 3.15
532, 517, 6.67
517, 530, 3.53
530, 518, 3.08
518, 529, 3.45
529, 528a, 3.22
529, 519, 3.22
528a, 528, 6.6
519, 528, 6.6
528a, 520, 6.6
519, 520, 6.6
528, 527, 3.53
520, 527, 3.53
527, 521, 3.22
521, 526, 3.45
526, 525, 3.15
526, 522, 3.15
525, 523, 6.53
522, 523, 6.53
523, 524, 3.38
600, 601, 7.27
601, s6d2, 3.03
s6d2, s6d1, 2
601, 602, 6.06
602, 603, 3.51
s3a1, s4a1, 20.3
s4a1, s5a1, 20.3
s1b1, s2b1, 18.5
s2b1, s3b1, 20.3
s3b1, s4b1, 20.2
s3c1, s4c1, 20.3
s0d1, s3d1, 20.3
s3d1, s4d1, 20.3
s4d1, s5d1, 20.3
s5d1, s6d1, 20.2
